Pixel-X,Pixel-Y,Longitude,Latitude,band_1,band_2,band_3,band_4,band_5,band_6
462.5,212.5,74.43863938,36.66761402,0.76362675,0.774627,0.7860251,0.72603786,0.10701968,0.112143114
468.5,212.5,74.44045215,36.66762255,0.6460603,0.649083,0.66893876,0.6628933,0.16604334,0.15925613
471.5,212.5,74.44135853,36.66762681,0.58361363,0.60633993,0.65104836,0.6514204,0.21986854,0.19755949
474.5,212.5,74.44226492,36.66763105,0.7438207,0.78557295,0.8438034,0.7761184,0.09365295,0.096973166
476.5,212.5,74.44286917,36.66763388,0.75895363,0.8064109,0.8456796,0.77747977,0.13529874,0.13804652
493.5,212.5,74.44800535,36.6676578,0.44489613,0.4522934,0.47992098,0.47484612,0.15813652,0.14728278
498.5,212.5,74.449516,36.66766479,0.5591266,0.5825612,0.59382606,0.5492642,0.09139177,0.097774595
501.5,212.5,74.45042238,36.66766898,0.33598748,0.36519584,0.36968833,0.37830058,0.23276024,0.2109236
504.5,212.5,74.45132877,36.66767316,0.38025695,0.3294777,0.37063122,0.3981131,0.21443431,0.18908697
507.5,212.5,74.45223515,36.66767733,0.39599288,0.40249017,0.4572451,0.4855528,0.21661124,0.20125744
509.5,212.5,74.45283941,36.66768011,0.2375671,0.22912344,0.25694457,0.2821324,0.14138684,0.12499721
275.5,214.5,74.38214576,36.66684754,0.38288853,0.3794498,0.37709266,0.33111385,0.07250791,0.06448008
278.5,214.5,74.38305213,36.66685224,0.7621165,0.75049704,0.7732923,0.74925226,0.1348859,0.12938353
283.5,214.5,74.38456274,36.66686005,0.2649016,0.2493882,0.2653882,0.28820038,0.18286186,0.17728734
294.5,214.5,74.38788608,36.66687718,1.0826763,1.0760359,1.1227192,1.088,0.09857603,0.106962435
305.5,214.5,74.39120942,36.66689421,0.79212195,0.73310935,0.768883,0.7711847,0.117664665,0.12290591
394.5,215.5,74.41810024,36.66678524,0.19744246,0.17466964,0.16418432,0.15031137,0.04132714,0.039788965
396.5,215.5,74.41870449,36.66678819,0.15768158,0.12592676,0.116267934,0.100117095,0.031645685,0.030876597
399.5,215.5,74.41961086,36.66679261,0.23789892,0.19348706,0.18990614,0.1700589,0.017459745,0.019406078
405.5,215.5,74.4214236,36.66680143,0.9433763,0.9291256,0.944349,0.8658568,0.073674545,0.07714158
407.5,215.5,74.42202785,36.66680436,1.0792786,1.0697103,1.0960176,1.0077082,0.09481822,0.09831153
421.5,215.5,74.42625758,36.66682481,0.9214918,0.91585124,0.93595594,0.85289246,0.10292666,0.11116995
424.5,215.5,74.42716395,36.66682918,0.596551,0.6106619,0.62680507,0.6117496,0.12568158,0.12613954
435.5,215.5,74.43048732,36.66684512,0.53257835,0.5379923,0.5436968,0.5024841,0.17951407,0.16030951
438.5,215.5,74.43139369,36.66684945,0.7016619,0.67847836,0.7026325,0.6978904,0.17821099,0.16949086
440.5,215.5,74.43199794,36.66685233,0.68701965,0.65942687,0.68241626,0.6795322,0.18259043,0.16913138
443.5,215.5,74.43290432,36.66685665,0.6834423,0.65870583,0.68172294,0.6882676,0.20620994,0.1883503
446.5,215.5,74.43381069,36.66686096,0.70485103,0.68421876,0.711257,0.71677554,0.20269038,0.17714319
451.5,215.5,74.43532131,36.66686813,0.7064872,0.6766758,0.7028266,0.71239394,0.14432427,0.14119963
457.5,215.5,74.43713406,36.66687672,0.74333483,0.7594139,0.78396547,0.7240493,0.14379965,0.1432694
465.5,215.5,74.43955106,36.66688811,0.66924685,0.6501645,0.6812515,0.686881,0.1261306,0.12155993
468.5,215.5,74.44045744,36.66689238,0.6047958,0.58003163,0.60931605,0.6197154,0.15798205,0.14613925
471.5,215.5,74.44136381,36.66689663,0.65966284,0.6735185,0.6756951,0.61655396,0.09179249,0.09207871
476.5,215.5,74.44287444,36.66690371,0.7791309,0.8386221,0.8895628,0.76411104,0.11545354,0.11098584
493.5,216.5,74.44801231,36.66668423,0.35932738,0.3574669,0.38073704,0.39510557,0.16025232,0.15547775
496.5,216.5,74.44891868,36.66668843,0.27102685,0.26787835,0.2909195,0.2779568,0.16744216,0.16027169
498.5,216.5,74.44952293,36.66669122,0.36539537,0.33047312,0.35500953,0.38274747,0.213896,0.20358199
501.5,216.5,74.4504293,36.66669541,0.37678713,0.39988554,0.44413596,0.42498183,0.23565745,0.21328747
507.5,216.5,74.45224205,36.66670376,0.14580323,0.14254025,0.13672988,0.12155993,0.089216456,0.08237567
509.5,216.5,74.4528463,36.66670654,0.32512346,0.31813955,0.33070484,0.31865475,0.09869052,0.09531306
222.5,217.5,74.36613933,36.66603322,0,0,0,0,0,0
275.5,218.5,74.38215355,36.66587398,0.4336926,0.41611084,0.41208977,0.42185125,0.120042935,0.124279074
278.5,218.5,74.3830599,36.66587868,0.4045796,0.39962792,0.4096172,0.39272988,0.14152852,0.1414115
280.5,218.5,74.38366413,36.66588181,0.66881776,0.65657574,0.6771222,0.6658645,0.09875804,0.1016735
289.5,218.5,74.3863832,36.66589585,0.5013524,0.5011807,0.5177532,0.4856959,0.12811759,0.13272832
297.5,218.5,74.38880014,36.66590828,0.6361324,0.5252065,0.5875746,0.63618785,0.08783431,0.09199285
300.5,218.5,74.3897065,36.66591292,0.563797,0.55689263,0.56489706,0.50687665,0.06188193,0.07021109
302.5,218.5,74.39031074,36.66591602,0.58150136,0.58799285,0.61249375,0.60648304,0.15344153,0.15341054
305.5,218.5,74.39121709,36.66592066,0.45584258,0.43886942,0.46325582,0.46070844,0.20903346,0.19935201
308.5,218.5,74.39212345,36.66592528,0.3323895,0.3629496,0.38194567,0.3783683,0.20884119,0.19614986
